"filename", "language", "CSV", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "Objective-C++", "Swift", "Objective-C", "XML", "C++", "Python", "comment", "blank", "total"
"/Users/david/Developer/event_buddy/event/components/ThemedView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/david/Developer/event_buddy/event/components/__tests__/ThemedText-test.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/david/Developer/event_buddy/event/components/navigation/TabBarIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/david/Developer/event_buddy/event/config.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/david/Developer/event_buddy/event/constants/Colors.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 36
"/Users/david/Developer/event_buddy/event/constants/Types.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/david/Developer/event_buddy/event/hooks/useColorScheme.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/david/Developer/event_buddy/event/hooks/useColorScheme.web.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 9
"/Users/david/Developer/event_buddy/event/hooks/useThemeColor.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 23
"/Users/david/Developer/event_buddy/event/ios/Podfile.properties.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/david/Developer/event_buddy/event/ios/event/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"/Users/david/Developer/event_buddy/event/ios/event/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 14, 63
"/Users/david/Developer/event_buddy/event/ios/event/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/david/Developer/event_buddy/event/ios/event/Images.xcassets/Contents.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/david/Developer/event_buddy/event/ios/event/Images.xcassets/SplashScreen.imageset/Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/david/Developer/event_buddy/event/ios/event/Images.xcassets/SplashScreenBackground.imageset/Contents.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"/Users/david/Developer/event_buddy/event/ios/event/SplashScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 51
"/Users/david/Developer/event_buddy/event/ios/event/event-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"/Users/david/Developer/event_buddy/event/ios/event/main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"/Users/david/Developer/event_buddy/event/ios/event/noop-file.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 5
"/Users/david/Developer/event_buddy/event/package-lock.json", "JSON", 0, 0, 18776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18777
"/Users/david/Developer/event_buddy/event/package.json", "JSON", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"/Users/david/Developer/event_buddy/event/scripts/reset-project.js", "JavaScript", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 5, 12, 74
"/Users/david/Developer/event_buddy/event/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"Total", "-", 47, 148, 18946, 73, 17, 63, 2797, 42, 0, 7, 51, 5, 369, 55, 344, 22964
